layer,sentence,train_acc,test_acc,n_samples,n_train,n_test
11,1,1.0,0.5,30,24,6
11,2,1.0,0.3333333333333333,30,24,6
11,3,1.0,0.16666666666666666,30,24,6
11,4,1.0,0.3333333333333333,30,24,6
11,5,1.0,0.5,30,24,6
11,6,1.0,0.8333333333333334,29,23,6
11,7,1.0,0.8333333333333334,29,23,6
11,8,1.0,0.6666666666666666,29,23,6
11,9,1.0,0.6666666666666666,28,22,6
11,10,1.0,0.6666666666666666,28,22,6
11,11,1.0,0.6666666666666666,28,22,6
11,12,1.0,0.6666666666666666,28,22,6
11,13,1.0,0.5,26,20,6
11,14,1.0,0.8,25,20,5
11,15,1.0,0.5,19,15,4
11,16,1.0,0.75,18,14,4
11,17,1.0,0.75,17,13,4
11,18,1.0,0.75,16,12,4
12,0,1.0,0.3333333333333333,30,24,6
12,1,1.0,0.5,30,24,6
12,2,1.0,0.16666666666666666,30,24,6
12,3,1.0,0.16666666666666666,30,24,6
12,4,1.0,0.3333333333333333,30,24,6
12,5,1.0,0.5,30,24,6
12,6,1.0,0.8333333333333334,29,23,6
12,7,1.0,0.8333333333333334,29,23,6
12,8,1.0,0.6666666666666666,29,23,6
12,9,1.0,0.6666666666666666,28,22,6
12,10,1.0,0.8333333333333334,28,22,6
12,11,1.0,0.5,28,22,6
12,12,1.0,0.5,28,22,6
12,13,1.0,0.5,26,20,6
12,14,1.0,0.8,25,20,5
12,15,1.0,0.5,19,15,4
12,16,1.0,0.75,18,14,4
12,17,1.0,0.75,17,13,4
12,18,1.0,0.75,16,12,4
13,0,1.0,0.16666666666666666,30,24,6
13,1,1.0,0.5,30,24,6
13,2,1.0,0.16666666666666666,30,24,6
13,3,1.0,0.16666666666666666,30,24,6
13,4,1.0,0.3333333333333333,30,24,6
13,5,1.0,0.5,30,24,6
13,6,1.0,0.8333333333333334,29,23,6
13,7,1.0,0.8333333333333334,29,23,6
13,8,1.0,0.6666666666666666,29,23,6
13,9,1.0,0.6666666666666666,28,22,6
13,10,1.0,0.8333333333333334,28,22,6
13,11,1.0,0.6666666666666666,28,22,6
13,12,1.0,0.5,28,22,6
13,13,1.0,0.5,26,20,6
13,14,1.0,0.8,25,20,5
13,15,1.0,0.25,19,15,4
13,16,1.0,0.75,18,14,4
13,17,1.0,0.75,17,13,4
13,18,1.0,0.75,16,12,4
14,0,1.0,0.3333333333333333,30,24,6
14,1,1.0,0.3333333333333333,30,24,6
14,2,1.0,0.3333333333333333,30,24,6
14,3,1.0,0.16666666666666666,30,24,6
14,4,1.0,0.3333333333333333,30,24,6
14,5,1.0,0.5,30,24,6
14,6,1.0,0.8333333333333334,29,23,6
14,7,1.0,0.8333333333333334,29,23,6
14,8,1.0,0.6666666666666666,29,23,6
14,9,1.0,0.6666666666666666,28,22,6
14,10,1.0,0.8333333333333334,28,22,6
14,11,1.0,0.8333333333333334,28,22,6
14,12,1.0,0.5,28,22,6
14,13,1.0,0.5,26,20,6
14,14,1.0,0.8,25,20,5
14,15,1.0,0.25,19,15,4
14,16,1.0,0.75,18,14,4
14,17,1.0,0.75,17,13,4
14,18,1.0,0.75,16,12,4
15,0,1.0,0.16666666666666666,30,24,6
15,1,1.0,0.5,30,24,6
15,2,1.0,0.16666666666666666,30,24,6
15,3,1.0,0.16666666666666666,30,24,6
15,4,1.0,0.3333333333333333,30,24,6
15,5,1.0,0.6666666666666666,30,24,6
15,6,1.0,0.6666666666666666,29,23,6
15,7,1.0,1.0,29,23,6
15,8,1.0,0.6666666666666666,29,23,6
15,9,1.0,0.6666666666666666,28,22,6
15,10,1.0,0.8333333333333334,28,22,6
15,11,1.0,0.8333333333333334,28,22,6
15,12,1.0,0.5,28,22,6
15,13,1.0,0.5,26,20,6
15,14,1.0,0.8,25,20,5
15,15,1.0,0.25,19,15,4
15,16,1.0,0.75,18,14,4
15,17,1.0,0.75,17,13,4
15,18,1.0,0.75,16,12,4
16,0,1.0,0.16666666666666666,30,24,6
16,1,1.0,0.5,30,24,6
16,2,1.0,0.16666666666666666,30,24,6
16,3,1.0,0.3333333333333333,30,24,6
16,4,1.0,0.16666666666666666,30,24,6
16,5,1.0,0.6666666666666666,30,24,6
16,6,1.0,0.6666666666666666,29,23,6
16,7,1.0,1.0,29,23,6
16,8,1.0,0.6666666666666666,29,23,6
16,9,1.0,0.6666666666666666,28,22,6
16,10,1.0,0.8333333333333334,28,22,6
16,11,1.0,0.8333333333333334,28,22,6
16,12,1.0,0.5,28,22,6
16,13,1.0,0.5,26,20,6
16,14,1.0,0.6,25,20,5
16,15,1.0,0.5,19,15,4
16,16,1.0,0.75,18,14,4
16,17,1.0,0.75,17,13,4
16,18,1.0,0.75,16,12,4
17,0,1.0,0.16666666666666666,30,24,6
17,1,1.0,0.5,30,24,6
17,2,1.0,0.16666666666666666,30,24,6
17,3,1.0,0.3333333333333333,30,24,6
17,4,1.0,0.16666666666666666,30,24,6
17,5,1.0,0.3333333333333333,30,24,6
17,6,1.0,0.6666666666666666,29,23,6
17,7,1.0,0.8333333333333334,29,23,6
17,8,1.0,0.6666666666666666,29,23,6
17,9,1.0,0.6666666666666666,28,22,6
17,10,1.0,0.8333333333333334,28,22,6
17,11,1.0,0.6666666666666666,28,22,6
17,12,1.0,0.5,28,22,6
17,13,1.0,0.6666666666666666,26,20,6
17,14,1.0,0.8,25,20,5
17,15,1.0,0.5,19,15,4
17,16,1.0,0.75,18,14,4
17,17,1.0,0.75,17,13,4
17,18,1.0,0.75,16,12,4
18,0,1.0,0.16666666666666666,30,24,6
18,1,1.0,0.5,30,24,6
18,2,1.0,0.16666666666666666,30,24,6
18,3,1.0,0.3333333333333333,30,24,6
18,4,1.0,0.16666666666666666,30,24,6
18,5,1.0,0.5,30,24,6
18,6,1.0,0.6666666666666666,29,23,6
18,7,1.0,0.8333333333333334,29,23,6
18,8,1.0,0.6666666666666666,29,23,6
18,9,1.0,0.6666666666666666,28,22,6
18,10,1.0,0.8333333333333334,28,22,6
18,11,1.0,0.5,28,22,6
18,12,1.0,0.5,28,22,6
18,13,1.0,0.6666666666666666,26,20,6
18,14,1.0,0.8,25,20,5
18,15,1.0,0.5,19,15,4
18,16,1.0,0.75,18,14,4
18,17,1.0,0.75,17,13,4
18,18,1.0,0.75,16,12,4
19,0,1.0,0.16666666666666666,30,24,6
19,1,1.0,0.5,30,24,6
19,2,1.0,0.16666666666666666,30,24,6
19,3,1.0,0.3333333333333333,30,24,6
19,4,1.0,0.16666666666666666,30,24,6
19,5,1.0,0.3333333333333333,30,24,6
19,6,1.0,0.6666666666666666,29,23,6
19,7,1.0,0.8333333333333334,29,23,6
19,8,1.0,0.6666666666666666,29,23,6
19,9,1.0,0.6666666666666666,28,22,6
19,10,1.0,0.8333333333333334,28,22,6
19,11,1.0,0.5,28,22,6
19,12,1.0,0.5,28,22,6
19,13,1.0,0.5,26,20,6
19,14,1.0,0.8,25,20,5
19,15,1.0,0.5,19,15,4
19,16,1.0,0.75,18,14,4
19,17,1.0,0.75,17,13,4
19,18,1.0,0.75,16,12,4
20,0,1.0,0.16666666666666666,30,24,6
20,1,1.0,0.5,30,24,6
20,2,1.0,0.16666666666666666,30,24,6
20,3,1.0,0.3333333333333333,30,24,6
20,4,1.0,0.16666666666666666,30,24,6
20,5,1.0,0.5,30,24,6
20,6,1.0,0.6666666666666666,29,23,6
20,7,1.0,0.8333333333333334,29,23,6
20,8,1.0,0.6666666666666666,29,23,6
20,9,1.0,0.6666666666666666,28,22,6
20,10,1.0,0.6666666666666666,28,22,6
20,11,1.0,0.6666666666666666,28,22,6
20,12,1.0,0.5,28,22,6
20,13,1.0,0.5,26,20,6
20,14,1.0,0.8,25,20,5
20,15,1.0,0.5,19,15,4
20,16,1.0,0.75,18,14,4
20,17,1.0,0.75,17,13,4
20,18,1.0,0.75,16,12,4
21,0,1.0,0.16666666666666666,30,24,6
21,1,1.0,0.5,30,24,6
21,2,1.0,0.16666666666666666,30,24,6
21,3,1.0,0.3333333333333333,30,24,6
21,4,1.0,0.16666666666666666,30,24,6
21,5,1.0,0.5,30,24,6
21,6,1.0,0.6666666666666666,29,23,6
21,7,1.0,0.8333333333333334,29,23,6
21,8,1.0,0.6666666666666666,29,23,6
21,9,1.0,0.8333333333333334,28,22,6
21,10,1.0,0.6666666666666666,28,22,6
21,11,1.0,0.8333333333333334,28,22,6
21,12,1.0,0.5,28,22,6
21,13,1.0,0.5,26,20,6
21,14,1.0,0.8,25,20,5
21,15,1.0,0.5,19,15,4
21,16,1.0,0.75,18,14,4
21,17,1.0,0.75,17,13,4
21,18,1.0,0.75,16,12,4
22,0,1.0,0.16666666666666666,30,24,6
22,1,1.0,0.5,30,24,6
22,2,1.0,0.16666666666666666,30,24,6
22,3,1.0,0.3333333333333333,30,24,6
22,4,1.0,0.16666666666666666,30,24,6
22,5,1.0,0.5,30,24,6
22,6,1.0,0.6666666666666666,29,23,6
22,7,1.0,0.8333333333333334,29,23,6
22,8,1.0,0.6666666666666666,29,23,6
22,9,1.0,0.6666666666666666,28,22,6
22,10,1.0,0.6666666666666666,28,22,6
22,11,1.0,0.8333333333333334,28,22,6
22,12,1.0,0.5,28,22,6
22,13,1.0,0.5,26,20,6
22,14,1.0,0.8,25,20,5
22,15,1.0,0.5,19,15,4
22,16,1.0,0.75,18,14,4
22,17,1.0,0.75,17,13,4
22,18,1.0,0.75,16,12,4
23,0,1.0,0.16666666666666666,30,24,6
23,1,1.0,0.5,30,24,6
23,2,1.0,0.16666666666666666,30,24,6
23,3,1.0,0.3333333333333333,30,24,6
23,4,1.0,0.16666666666666666,30,24,6
23,5,1.0,0.5,30,24,6
23,6,1.0,0.6666666666666666,29,23,6
23,7,1.0,0.8333333333333334,29,23,6
23,8,1.0,0.6666666666666666,29,23,6
23,9,1.0,0.6666666666666666,28,22,6
23,10,1.0,0.6666666666666666,28,22,6
