layer,sentence,train_acc,test_acc,n_samples,n_train,n_test
14,0,1.0,0.3333333333333333,30,24,6
14,1,1.0,0.3333333333333333,30,24,6
14,2,1.0,0.3333333333333333,30,24,6
14,3,1.0,0.6666666666666666,29,23,6
15,0,1.0,0.3333333333333333,30,24,6
15,1,1.0,0.3333333333333333,30,24,6
15,2,1.0,0.5,30,24,6
15,3,1.0,0.6666666666666666,29,23,6
16,0,1.0,0.3333333333333333,30,24,6
16,1,1.0,0.3333333333333333,30,24,6
16,2,1.0,0.5,30,24,6
16,3,1.0,0.6666666666666666,29,23,6
17,0,1.0,0.3333333333333333,30,24,6
17,1,1.0,0.3333333333333333,30,24,6
17,2,1.0,0.5,30,24,6
17,3,1.0,0.6666666666666666,29,23,6
18,0,1.0,0.3333333333333333,30,24,6
18,1,1.0,0.3333333333333333,30,24,6
18,2,1.0,0.3333333333333333,30,24,6
18,3,1.0,0.6666666666666666,29,23,6
19,0,1.0,0.16666666666666666,30,24,6
19,1,1.0,0.16666666666666666,30,24,6
19,2,1.0,0.3333333333333333,30,24,6
19,3,1.0,0.6666666666666666,29,23,6
20,0,1.0,0.16666666666666666,30,24,6
20,1,1.0,0.3333333333333333,30,24,6
20,2,1.0,0.3333333333333333,30,24,6
20,3,1.0,0.6666666666666666,29,23,6
21,0,1.0,0.16666666666666666,30,24,6
21,1,1.0,0.3333333333333333,30,24,6
21,2,1.0,0.3333333333333333,30,24,6
21,3,1.0,0.6666666666666666,29,23,6
22,0,1.0,0.16666666666666666,30,24,6
22,1,1.0,0.3333333333333333,30,24,6
22,2,1.0,0.5,30,24,6
22,3,1.0,0.6666666666666666,29,23,6
23,0,1.0,0.16666666666666666,30,24,6
23,1,1.0,0.16666666666666666,30,24,6
23,2,1.0,0.5,30,24,6
23,3,1.0,0.6666666666666666,29,23,6
24,0,1.0,0.16666666666666666,30,24,6
24,1,1.0,0.16666666666666666,30,24,6
24,2,1.0,0.5,30,24,6
24,3,1.0,0.6666666666666666,29,23,6
25,0,1.0,0.16666666666666666,30,24,6
25,1,1.0,0.16666666666666666,30,24,6
25,2,1.0,0.5,30,24,6
25,3,1.0,0.6666666666666666,29,23,6
26,0,1.0,0.16666666666666666,30,24,6
26,1,1.0,0.3333333333333333,30,24,6
26,2,1.0,0.5,30,24,6
26,3,1.0,0.6666666666666666,29,23,6
27,0,1.0,0.16666666666666666,30,24,6
27,1,1.0,0.3333333333333333,30,24,6
27,2,1.0,0.5,30,24,6
27,3,1.0,0.6666666666666666,29,23,6
28,0,1.0,0.16666666666666666,30,24,6
28,1,1.0,0.3333333333333333,30,24,6
28,2,1.0,0.5,30,24,6
28,3,1.0,0.6666666666666666,29,23,6
29,0,1.0,0.16666666666666666,30,24,6
29,1,1.0,0.3333333333333333,30,24,6
29,2,1.0,0.5,30,24,6
29,3,1.0,0.6666666666666666,29,23,6
30,0,1.0,0.16666666666666666,30,24,6
30,1,1.0,0.5,30,24,6
30,2,1.0,0.3333333333333333,30,24,6
30,3,1.0,0.6666666666666666,29,23,6
31,0,1.0,0.16666666666666666,30,24,6
31,1,1.0,0.3333333333333333,30,24,6
31,2,1.0,0.5,30,24,6
31,3,1.0,0.6666666666666666,29,23,6
32,0,1.0,0.16666666666666666,30,24,6
32,1,1.0,0.3333333333333333,30,24,6
32,2,1.0,0.5,30,24,6
32,3,1.0,0.6666666666666666,29,23,6
33,0,1.0,0.16666666666666666,30,24,6
33,1,1.0,0.3333333333333333,30,24,6
33,2,1.0,0.3333333333333333,30,24,6
33,3,1.0,0.8333333333333334,29,23,6
34,0,1.0,0.16666666666666666,30,24,6
34,1,1.0,0.3333333333333333,30,24,6
34,2,1.0,0.3333333333333333,30,24,6
34,3,1.0,0.8333333333333334,29,23,6
35,0,1.0,0.16666666666666666,30,24,6
35,1,1.0,0.3333333333333333,30,24,6
35,2,1.0,0.3333333333333333,30,24,6
35,3,1.0,0.8333333333333334,29,23,6
36,0,1.0,0.16666666666666666,30,24,6
36,1,1.0,0.3333333333333333,30,24,6
36,2,1.0,0.3333333333333333,30,24,6
36,3,1.0,0.8333333333333334,29,23,6
37,0,1.0,0.16666666666666666,30,24,6
37,1,1.0,0.3333333333333333,30,24,6
37,2,1.0,0.3333333333333333,30,24,6
37,3,1.0,0.8333333333333334,29,23,6
38,0,1.0,0.16666666666666666,30,24,6
38,1,1.0,0.3333333333333333,30,24,6
38,2,1.0,0.3333333333333333,30,24,6
38,3,1.0,0.8333333333333334,29,23,6
39,0,1.0,0.16666666666666666,30,24,6
39,1,1.0,0.3333333333333333,30,24,6
39,2,1.0,0.3333333333333333,30,24,6
39,3,1.0,0.8333333333333334,29,23,6
40,0,1.0,0.16666666666666666,30,24,6
40,1,1.0,0.3333333333333333,30,24,6
40,2,1.0,0.3333333333333333,30,24,6
40,3,1.0,0.8333333333333334,29,23,6
41,0,1.0,0.16666666666666666,30,24,6
41,1,1.0,0.3333333333333333,30,24,6
41,2,1.0,0.3333333333333333,30,24,6
41,3,1.0,0.8333333333333334,29,23,6
42,0,1.0,0.16666666666666666,30,24,6
42,1,1.0,0.3333333333333333,30,24,6
42,2,1.0,0.3333333333333333,30,24,6
42,3,1.0,0.8333333333333334,29,23,6
43,0,1.0,0.3333333333333333,30,24,6
43,1,1.0,0.3333333333333333,30,24,6
43,2,1.0,0.3333333333333333,30,24,6
43,3,1.0,0.8333333333333334,29,23,6
44,0,1.0,0.3333333333333333,30,24,6
44,1,1.0,0.3333333333333333,30,24,6
44,2,1.0,0.3333333333333333,30,24,6
44,3,1.0,0.8333333333333334,29,23,6
45,0,1.0,0.3333333333333333,30,24,6
45,1,1.0,0.3333333333333333,30,24,6
45,2,1.0,0.3333333333333333,30,24,6
45,3,1.0,0.8333333333333334,29,23,6
46,0,1.0,0.3333333333333333,30,24,6
46,1,1.0,0.3333333333333333,30,24,6
46,2,1.0,0.3333333333333333,30,24,6
46,3,1.0,0.8333333333333334,29,23,6
47,0,1.0,0.3333333333333333,30,24,6
47,1,1.0,0.3333333333333333,30,24,6
47,2,1.0,0.3333333333333333,30,24,6
47,3,1.0,0.6666666666666666,29,23,6
