layer,sentence,train_acc,test_acc,n_samples,n_train,n_test
9,7,1.0,0.25,29,25,4
9,8,1.0,0.25,29,25,4
9,9,1.0,0.75,28,24,4
9,10,1.0,0.25,28,24,4
9,11,1.0,0.0,28,24,4
9,12,1.0,0.0,28,24,4
9,13,1.0,0.0,26,22,4
9,14,1.0,0.0,25,21,4
9,15,1.0,0.0,19,15,4
9,16,1.0,0.25,18,14,4
9,17,1.0,0.0,17,13,4
9,18,1.0,0.25,16,12,4
9,19,1.0,0.5,14,10,4
9,20,1.0,0.25,14,10,4
9,21,1.0,0.6666666666666666,13,10,3
9,22,1.0,0.0,12,9,3
9,23,1.0,0.0,10,7,3
9,24,1.0,0.0,10,7,3
9,25,1.0,0.3333333333333333,10,7,3
10,0,1.0,0.2,30,25,5
10,1,1.0,0.2,30,25,5
10,2,1.0,0.2,30,25,5
10,3,1.0,0.0,30,25,5
10,4,1.0,0.0,30,25,5
10,5,1.0,0.6,30,25,5
10,6,1.0,0.25,29,25,4
10,7,1.0,0.5,29,25,4
10,8,1.0,0.25,29,25,4
10,9,1.0,0.75,28,24,4
10,10,1.0,0.25,28,24,4
10,11,1.0,0.0,28,24,4
10,12,1.0,0.0,28,24,4
10,13,1.0,0.0,26,22,4
10,14,1.0,0.0,25,21,4
10,15,1.0,0.0,19,15,4
10,16,1.0,0.25,18,14,4
10,17,1.0,0.0,17,13,4
10,18,1.0,0.25,16,12,4
10,19,1.0,0.5,14,10,4
10,20,1.0,0.25,14,10,4
10,21,1.0,0.6666666666666666,13,10,3
10,22,1.0,0.3333333333333333,12,9,3
10,23,1.0,0.3333333333333333,10,7,3
10,24,1.0,0.0,10,7,3
10,25,1.0,0.0,10,7,3
11,0,1.0,0.2,30,25,5
11,1,1.0,0.2,30,25,5
11,2,1.0,0.2,30,25,5
11,3,1.0,0.0,30,25,5
11,4,1.0,0.0,30,25,5
11,5,1.0,0.4,30,25,5
11,6,1.0,0.25,29,25,4
11,7,1.0,0.25,29,25,4
11,8,1.0,0.0,29,25,4
11,9,1.0,0.75,28,24,4
11,10,1.0,0.25,28,24,4
11,11,1.0,0.0,28,24,4
11,12,1.0,0.0,28,24,4
11,13,1.0,0.0,26,22,4
11,14,1.0,0.0,25,21,4
11,15,1.0,0.0,19,15,4
11,16,1.0,0.0,18,14,4
11,17,1.0,0.0,17,13,4
11,18,1.0,0.0,16,12,4
11,19,1.0,0.5,14,10,4
11,20,1.0,0.0,14,10,4
11,21,1.0,0.6666666666666666,13,10,3
11,22,1.0,0.3333333333333333,12,9,3
11,23,1.0,0.0,10,7,3
11,24,1.0,0.0,10,7,3
11,25,1.0,0.0,10,7,3
12,0,1.0,0.2,30,25,5
12,1,1.0,0.2,30,25,5
12,2,1.0,0.0,30,25,5
12,3,1.0,0.0,30,25,5
12,4,1.0,0.0,30,25,5
12,5,1.0,0.4,30,25,5
12,6,1.0,0.25,29,25,4
12,7,1.0,0.25,29,25,4
12,8,1.0,0.0,29,25,4
12,9,1.0,0.75,28,24,4
12,10,1.0,0.25,28,24,4
12,11,1.0,0.0,28,24,4
12,12,1.0,0.25,28,24,4
12,13,1.0,0.0,26,22,4
12,14,1.0,0.0,25,21,4
12,15,1.0,0.0,19,15,4
12,16,1.0,0.0,18,14,4
12,17,1.0,0.0,17,13,4
12,18,1.0,0.0,16,12,4
12,19,1.0,0.5,14,10,4
12,20,1.0,0.0,14,10,4
12,21,1.0,0.6666666666666666,13,10,3
12,22,1.0,0.3333333333333333,12,9,3
12,23,1.0,0.0,10,7,3
12,24,1.0,0.0,10,7,3
12,25,1.0,0.0,10,7,3
13,0,1.0,0.2,30,25,5
13,1,1.0,0.2,30,25,5
13,2,1.0,0.2,30,25,5
13,3,1.0,0.0,30,25,5
13,4,1.0,0.0,30,25,5
13,5,1.0,0.6,30,25,5
13,6,1.0,0.5,29,25,4
13,7,1.0,0.25,29,25,4
13,8,1.0,0.0,29,25,4
13,9,1.0,0.75,28,24,4
13,10,1.0,0.25,28,24,4
13,11,1.0,0.25,28,24,4
13,12,1.0,0.25,28,24,4
13,13,1.0,0.0,26,22,4
13,14,1.0,0.0,25,21,4
13,15,1.0,0.0,19,15,4
13,16,1.0,0.0,18,14,4
13,17,1.0,0.0,17,13,4
13,18,1.0,0.0,16,12,4
13,19,1.0,0.5,14,10,4
13,20,1.0,0.0,14,10,4
13,21,1.0,0.6666666666666666,13,10,3
13,22,1.0,0.3333333333333333,12,9,3
13,23,1.0,0.3333333333333333,10,7,3
13,24,1.0,0.0,10,7,3
13,25,1.0,0.0,10,7,3
14,0,1.0,0.2,30,25,5
14,1,1.0,0.2,30,25,5
14,2,1.0,0.2,30,25,5
14,3,1.0,0.0,30,25,5
14,4,1.0,0.2,30,25,5
14,5,1.0,0.6,30,25,5
14,6,1.0,0.5,29,25,4
14,7,1.0,0.25,29,25,4
14,8,1.0,0.0,29,25,4
14,9,1.0,0.75,28,24,4
14,10,1.0,0.25,28,24,4
14,11,1.0,0.25,28,24,4
14,12,1.0,0.0,28,24,4
14,13,1.0,0.0,26,22,4
14,14,1.0,0.0,25,21,4
14,15,1.0,0.0,19,15,4
14,16,1.0,0.0,18,14,4
14,17,1.0,0.0,17,13,4
14,18,1.0,0.0,16,12,4
14,19,1.0,0.5,14,10,4
14,20,1.0,0.0,14,10,4
14,21,1.0,0.6666666666666666,13,10,3
14,22,1.0,0.3333333333333333,12,9,3
14,23,1.0,0.0,10,7,3
14,24,1.0,0.0,10,7,3
14,25,1.0,0.0,10,7,3
15,0,1.0,0.2,30,25,5
15,1,1.0,0.2,30,25,5
15,2,1.0,0.2,30,25,5
15,3,1.0,0.0,30,25,5
15,4,1.0,0.0,30,25,5
15,5,1.0,0.6,30,25,5
15,6,1.0,0.5,29,25,4
15,7,1.0,0.25,29,25,4
15,8,1.0,0.0,29,25,4
15,9,1.0,1.0,28,24,4
15,10,1.0,0.25,28,24,4
15,11,1.0,0.25,28,24,4
15,12,1.0,0.0,28,24,4
15,13,1.0,0.0,26,22,4
15,14,1.0,0.0,25,21,4
15,15,1.0,0.0,19,15,4
15,16,1.0,0.0,18,14,4
15,17,1.0,0.0,17,13,4
15,18,1.0,0.0,16,12,4
15,19,1.0,0.5,14,10,4
15,20,1.0,0.0,14,10,4
15,21,1.0,0.6666666666666666,13,10,3
15,22,1.0,0.3333333333333333,12,9,3
15,23,1.0,0.0,10,7,3
15,24,1.0,0.0,10,7,3
15,25,1.0,0.0,10,7,3
16,0,1.0,0.2,30,25,5
16,1,1.0,0.2,30,25,5
16,2,1.0,0.2,30,25,5
16,3,1.0,0.0,30,25,5
16,4,1.0,0.0,30,25,5
16,5,1.0,0.6,30,25,5
16,6,1.0,0.25,29,25,4
16,7,1.0,0.25,29,25,4
16,8,1.0,0.25,29,25,4
