layer,sentence,train_mse,test_mse,train_r2,test_r2,n_samples,n_train,n_test
4,17,1.860618591308603e-07,0.2470249599456787,0.999998575262146,-1.09698607763734,12,8,4
4,18,1.301960069305802e-08,0.17971885786056518,0.9999998806366719,-0.3004258890055369,12,8,4
4,19,1.1825561523437673e-08,0.09982360067367553,0.9999998895036818,0.258781506042877,10,6,4
5,0,5.425366559530318e-09,0.07330463285923003,0.9999998860368992,-3.265865506240109,24,19,5
5,1,8.96591889230785e-08,0.08868579380035399,0.9999971142147646,-4.98581221654657,24,19,5
5,2,2.1926963022791787e-08,0.09214317701816557,0.9999997246972564,-10.657790614646453,24,19,5
5,3,9.012222290039375e-09,0.09275591609954834,0.9999999036243025,-3.507966373422839,24,19,5
5,4,4.726681491561905e-08,0.30943453666687015,0.9999995597574556,-1.3829051924198352,24,19,5
5,5,5.554663397809932e-08,0.12645100976943965,0.999999516868636,0.08251821330508702,24,19,5
5,6,7.338926185319087e-09,0.17422383394241336,0.9999999370009967,-18.358203771379266,23,19,4
5,7,2.0072446231955213e-07,0.11487614917755128,0.9999983280625271,-9.940585635957264,23,19,4
5,8,2.691520912178569e-07,0.12595113801956176,0.999998124264902,-5.21213997630391,23,19,4
5,9,1.17725796169719e-08,0.32762608909606933,0.9999998937492814,-6.913673649663509,22,18,4
5,10,1.0116896143202785e-08,0.10391123647689819,0.9999999297118026,-0.7412859066091024,22,18,4
5,11,5.997551812064459e-09,0.43133692026138304,0.9999999412573523,-7.412226626258079,22,18,4
5,12,3.348456488715692e-09,0.4065705872535706,0.9999999688837291,-3.898440810283984,22,18,4
5,13,4.3596540178568016e-09,0.3075594442367554,0.999999955498907,-1.5334385851462558,18,14,4
5,14,1.81198120117194e-08,0.2483047264099121,0.9999997757140584,-0.7018829774497057,16,12,4
5,15,4.580782533237252e-09,0.1380567135810852,0.9999999612247849,-0.1772049761763821,14,10,4
5,16,2.2778238966179007e-08,0.21710987443923951,0.9999997494174582,-0.7708798893902082,13,9,4
