layer,sentence,train_mse,test_mse,train_r2,test_r2,n_samples,n_train,n_test
29,11,6.805419921875284e-09,0.08217972854886736,0.9999999454833702,-2.4264862992635305,32,25,7
29,12,1.719345480439507e-07,0.054375695255824495,0.99999858042114,-0.7437232117378278,32,25,7
29,13,3.844499718669172e-09,0.03606896422249929,0.9999999669042288,-0.9620107092611738,26,19,7
29,14,1.478791236877462e-08,0.07553622428894043,0.9999998706714415,-5.686988694134243,21,16,5
29,15,7.148296753929829e-09,0.04026868515014648,0.9999999403351271,-0.5675526226268095,18,15,3
29,16,2.5138685319837157e-07,0.19492333827816444,0.9999976119980419,-7.206226332356197,17,14,3
29,17,4.203502948466157e-09,0.05692676258087157,0.9999999697148801,-0.2908562943508297,15,13,2
29,18,1.0799126497804729e-08,0.12209713974388277,0.9999999161248981,-1.9256980035455307,15,13,2
29,19,1.161748712713084e-08,0.09613941688537597,0.9999999109720359,-1.663141741977174,13,11,2
29,20,1.542833116319535e-08,0.14268443012237547,0.9999998962392208,-8.90864098072052,11,9,2
29,21,1.0214911566841453e-08,0.06370776748657225,0.9999999214386786,0.05757740404478906,11,9,2
29,22,1.0638766818576794e-08,0.01386503982543945,0.9999997428562568,0.45839688181877125,11,9,2
30,0,7.983666791455256e-09,0.024525152356945596,0.9999998741998336,0.4274893994288361,34,26,8
30,1,8.93602004417984e-08,0.038968772906064986,0.9999984750665056,-0.26521989954756453,34,26,8
30,2,8.005177440392639e-09,0.0777617388278246,0.9999999202171811,-0.8569967481271545,34,26,8
30,3,7.567038902868947e-09,0.03555095551013947,0.9999999282576127,0.30564540019258857,34,26,8
30,4,7.744180401097316e-09,0.10765601580142975,0.9999999322875982,-0.22973959650380227,34,26,8
30,5,8.95433667583494e-09,0.06947476927042007,0.9999999336233759,0.18814175553117052,34,26,8
30,6,5.527184750709542e-09,0.12008703457968573,0.9999999594611041,-0.9045393236679833,33,26,7
30,7,2.475844489203434e-07,0.05959504034859793,0.9999981548148612,0.08516385429783879,33,26,7
30,8,4.599404740621819e-09,0.05271984030859811,0.999999966925042,0.5208354030417519,33,26,7
30,9,4.390716552734369e-09,0.027855345371791296,0.9999999686915536,-0.3859788009928651,32,25,7
30,10,5.473137299052431e-09,0.04661081346443862,0.9999999631168266,-0.5482576605115261,32,25,7
30,11,6.805419921875284e-09,0.09913646354675291,0.9999999454833702,-3.1334978844374515,32,25,7
30,12,1.719345480439507e-07,0.06482664424351282,0.99999858042114,-1.0788649004791422,32,25,7
30,13,3.844499718669172e-09,0.04368345554896763,0.9999999669042288,-1.3762092827480172,26,19,7
30,14,1.478791236877462e-08,0.05513983337402343,0.9999998706714415,-3.8813591867938575,21,16,5
30,15,7.148296753929829e-09,0.016702633031209307,0.9999999403351271,0.3498109979200529,18,15,3
30,16,2.5138685319837157e-07,0.20911730546159543,0.9999976119980419,-7.803788985911055,17,14,3
30,17,4.203502948466157e-09,0.03873653602600097,0.9999999697148801,0.1216204982766218,15,13,2
30,18,1.0799126497804729e-08,0.08961658993156588,0.9999999161248981,-1.1473973820953236,15,13,2
30,19,1.161748712713084e-08,0.1048945285797119,0.9999999109720359,-1.9056656116263686,13,11,2
30,20,1.542833116319535e-08,0.15384997272491455,0.9999998962392208,-9.684025883674622,11,9,2
30,21,1.0214911566841453e-08,0.056105957984924314,0.9999999214386786,0.17003020732360474,11,9,2
30,22,1.0638766818576794e-08,0.0180425910949707,0.9999997428562568,0.2952112853527067,11,9,2
31,0,7.983666791455256e-09,0.026822289140545446,0.9999998741998336,0.3738654650926887,34,26,8
31,1,8.93602004417984e-08,0.03984103979468346,0.9999984750665056,-0.2935402530741382,34,26,8
31,2,8.005177440392639e-09,0.07745844744741917,0.9999999202171811,-0.849753968893592,34,26,8
