layer,sentence,train_acc,test_acc,n_samples,n_train,n_test
7,8,1.0,0.45454545454545453,54,43,11
7,9,1.0,0.45454545454545453,53,42,11
7,10,1.0,0.5454545454545454,53,42,11
7,11,1.0,0.6363636363636364,53,42,11
7,12,1.0,0.45454545454545453,52,41,11
7,13,1.0,0.7,49,39,10
7,14,1.0,0.3333333333333333,43,34,9
7,15,1.0,0.3333333333333333,35,29,6
7,16,1.0,0.4,31,26,5
7,17,1.0,0.8,29,24,5
7,18,1.0,0.5,27,23,4
7,19,1.0,0.5,25,21,4
7,20,1.0,0.5,24,20,4
7,21,1.0,0.5,23,19,4
7,22,1.0,0.5,22,18,4
7,23,1.0,0.3333333333333333,20,17,3
8,0,1.0,0.5454545454545454,55,44,11
8,1,1.0,0.5454545454545454,55,44,11
8,2,1.0,0.6363636363636364,55,44,11
8,3,1.0,0.36363636363636365,55,44,11
8,4,1.0,0.6363636363636364,55,44,11
8,5,1.0,0.45454545454545453,55,44,11
8,6,1.0,0.5454545454545454,54,43,11
8,7,1.0,0.2727272727272727,54,43,11
8,8,1.0,0.45454545454545453,54,43,11
8,9,1.0,0.45454545454545453,53,42,11
8,10,1.0,0.45454545454545453,53,42,11
8,11,1.0,0.6363636363636364,53,42,11
8,12,1.0,0.45454545454545453,52,41,11
8,13,1.0,0.7,49,39,10
8,14,1.0,0.3333333333333333,43,34,9
8,15,1.0,0.3333333333333333,35,29,6
8,16,1.0,0.4,31,26,5
8,17,1.0,0.6,29,24,5
8,18,1.0,0.5,27,23,4
8,19,1.0,0.5,25,21,4
8,20,1.0,0.5,24,20,4
8,21,1.0,0.5,23,19,4
8,22,1.0,0.5,22,18,4
8,23,1.0,0.3333333333333333,20,17,3
9,0,1.0,0.5454545454545454,55,44,11
9,1,1.0,0.5454545454545454,55,44,11
9,2,1.0,0.6363636363636364,55,44,11
9,3,1.0,0.36363636363636365,55,44,11
9,4,1.0,0.6363636363636364,55,44,11
9,5,1.0,0.45454545454545453,55,44,11
9,6,1.0,0.5454545454545454,54,43,11
9,7,1.0,0.36363636363636365,54,43,11
9,8,1.0,0.45454545454545453,54,43,11
9,9,1.0,0.5454545454545454,53,42,11
9,10,1.0,0.5454545454545454,53,42,11
9,11,1.0,0.6363636363636364,53,42,11
9,12,1.0,0.45454545454545453,52,41,11
9,13,1.0,0.6,49,39,10
9,14,1.0,0.4444444444444444,43,34,9
9,15,1.0,0.3333333333333333,35,29,6
9,16,1.0,0.4,31,26,5
9,17,1.0,0.6,29,24,5
9,18,1.0,0.5,27,23,4
9,19,1.0,0.5,25,21,4
9,20,1.0,0.5,24,20,4
9,21,1.0,0.5,23,19,4
9,22,1.0,0.5,22,18,4
9,23,1.0,0.3333333333333333,20,17,3
10,0,1.0,0.5454545454545454,55,44,11
10,1,1.0,0.5454545454545454,55,44,11
