layer,sentence,train_mse,test_mse,train_r2,test_r2,n_samples,n_train,n_test
24,12,2.274990081787064e-07,0.06016531098683675,0.9999986211659037,-0.3333853703066503,22,16,6
24,13,2.3181621844941967e-09,0.04729862777709961,0.9999999845336273,-0.45194707076067075,18,13,5
24,14,1.1834231289948471e-08,0.10684017967224121,0.9999999166001545,-5.786088647881174,16,11,5
24,15,3.2837854629260814e-09,0.18692912867069245,0.9999999771663781,-5.093859125368948,14,10,4
24,16,3.623962402342895e-09,0.05571175496217759,0.9999999718593302,-0.9594781616249357,13,9,4
24,17,6.949901580810374e-09,0.09886054518222809,0.9999999544492769,-1.1363705063690568,12,8,4
24,18,1.4591217041017815e-08,0.10660416189310501,0.9999998999059027,-1.4310814491545463,12,8,4
24,19,3.34058489118317e-07,0.13727609157562257,0.9999975919639333,-2.860890075564384,10,7,3
25,0,5.856561072076881e-09,0.013984290923614496,0.9999998892806299,-0.8311938713985663,24,18,6
25,1,8.88241661919452e-08,0.035570024251937865,0.9999975597756541,-2.4459657509950565,24,18,6
25,2,6.683581882406518e-08,0.08068080864350001,0.9999992507628302,-6.14692202550689,24,18,6
25,3,8.707046508789049e-08,0.0667066238005956,0.9999991429655772,-3.1807772576974944,24,18,6
25,4,8.014120184633175e-09,0.029800530258814493,0.9999999402110512,0.16835729510285136,24,18,6
25,5,7.053050247255865e-09,0.0717363217830658,0.9999999544519561,-8.887088760300031,24,18,6
25,6,9.244829266594834e-08,0.0689875788529714,0.9999993676869061,-6.120277633907597,23,17,6
25,7,2.3889479294319777e-07,0.07336460259755452,0.9999983921982427,-0.4633896794724972,23,17,6
25,8,2.276488140421645e-08,0.13729280765851337,0.9999998379390356,-0.5428084266782622,23,17,6
25,9,1.4222264289856218e-07,0.045079156494140626,0.9999989766199537,0.4093573905266187,22,16,6
25,10,5.0425529479965485e-09,0.03074680464235624,0.999999970140323,0.5204714932364269,22,16,6
25,11,5.793571472166104e-09,0.05766388670603434,0.9999999635190651,-0.018396743238439983,22,16,6
25,12,2.274990081787064e-07,0.054442759641011564,0.9999986211659037,-0.20656202110097022,22,16,6
25,13,2.3181621844941967e-09,0.041725553436279296,0.9999999845336273,-0.28086792228264046,18,13,5
25,14,1.1834231289948471e-08,0.09355689882278442,0.9999999166001545,-4.942384325634173,16,11,5
25,15,3.2837854629260814e-09,0.18165665199756623,0.9999999771663781,-4.921977245234434,14,10,4
25,16,3.623962402342895e-09,0.060094185106896306,0.9999999718593302,-1.113615760938635,13,9,4
25,17,6.949901580810374e-09,0.08913235189914703,0.9999999544492769,-0.9261448276422919,12,8,4
25,18,1.4591217041017815e-08,0.06002068667801058,0.9999998999059027,-0.3687568604942666,12,8,4
25,19,3.34058489118317e-07,0.1266834282875061,0.9999975919639333,-2.5629714205861083,10,7,3
26,0,5.856561072076881e-09,0.011901935962005143,0.9999998892806299,-0.5585167893352694,24,18,6
26,1,8.88241661919452e-08,0.027285519838333133,0.9999975597756541,-1.6433765182454056,24,18,6
26,2,6.683581882406518e-08,0.09080483835935592,0.9999992507628302,-7.043735681439008,24,18,6
26,3,9.597804811265737e-08,0.043282648789882666,0.9999990552882544,-1.7127008294494703,24,18,6
26,4,8.014120184633175e-09,0.039363923851648976,0.9999999402110512,-0.09852810748787832,24,18,6
26,5,7.053050247255865e-09,0.08630635374387104,0.9999999544519561,-10.895209551222653,24,18,6
26,6,9.244829266594834e-08,0.06039806555112202,0.9999993676869061,-5.2337452977075465,23,17,6
26,7,2.3889479294319777e-07,0.06227619039217631,0.9999983921982427,-0.2422112445247937,23,17,6
26,8,1.0162756508852323e-08,0.09827822144826254,0.9999999276523303,-0.1043875552932485,23,17,6
26,9,1.6472339630127204e-07,0.03540066593488058,0.99999881471309,0.5361683019159627,22,16,6
26,10,5.0425529479965485e-09,0.03371081643802299,0.999999970140323,0.4742446359438256,22,16,6
26,11,5.793571472166104e-09,0.05553468004862467,0.9999999635190651,0.01920698501251561,22,16,6
26,12,2.274990081787064e-07,0.06095234820048015,0.9999986211659037,-0.3508277119042631,22,16,6
26,13,2.3181621844941967e-09,0.03632066528320312,0.9999999845336273,-0.11495166021620595,18,13,5
26,14,1.1834231289948471e-08,0.09518864463806152,0.9999999166001545,-5.04602671735655,16,11,5
26,15,3.2837854629260814e-09,0.16445721855163573,0.9999999771663781,-4.361278518390733,14,10,4
26,16,3.623962402342895e-09,0.042329403612366416,0.9999999718593302,-0.4887978673324791,13,9,4
26,17,6.949901580810374e-09,0.10646069767475128,0.9999999544492769,-1.3006093500756628,12,8,4
26,18,1.4591217041017815e-08,0.09832323665326953,0.9999998999059027,-1.2422370046704163,12,8,4
26,19,3.34058489118317e-07,0.12016852140426633,0.9999975919639333,-2.3797396644949904,10,7,3
27,0,5.856561072076881e-09,0.007332335794276537,0.9999998892806299,0.03985633287689805,24,18,6
27,1,8.88241661919452e-08,0.027515340646107996,0.9999975597756541,-1.6656411820772004,24,18,6
27,2,6.683581882406518e-08,0.0932722572684288,0.9999992507628302,-7.262306254093103,24,18,6
27,3,9.223620096842454e-08,0.0471296769062678,0.9999990921192488,-1.953809833958288,24,18,6
27,4,8.014120184633175e-09,0.03795391875902812,0.9999999402110512,-0.05917912815892423,24,18,6
27,5,7.053050247255865e-09,0.07388253881136576,0.9999999544519561,-9.182892026068785,24,18,6
27,6,9.244829266594834e-08,0.05526768436431884,0.9999993676869061,-4.704233477968687,23,17,6
27,7,2.3889479294319777e-07,0.04759882914225261,0.9999983921982427,0.05055526976889735,23,17,6
27,8,2.3185620073218826e-08,0.09137730733553567,0.9999998349438382,-0.0268395130725696,23,17,6
27,9,1.940786838531523e-07,0.029267007446289062,0.9999986034836056,0.6165336045762096,22,16,6
27,10,5.0425529479965485e-09,0.030686041826621272,0.999999970140323,0.5214191527618659,22,16,6
27,11,5.793571472166104e-09,0.057391091346740725,0.9999999635190651,-0.013578928808215318,22,16,6
27,12,2.274990081787064e-07,0.048529990005493163,0.9999986211659037,-0.07552304863195869,22,16,6
27,13,2.3181621844941967e-09,0.027437370223999023,0.9999999845336273,0.15774280992144452,18,13,5
27,14,1.1834231289948471e-08,0.09822393058776854,0.9999999166001545,-5.23881672940603,16,11,5
27,15,3.2837854629260814e-09,0.16635112037658692,0.9999999771663781,-4.423019409179688,14,10,4
27,16,3.623962402342895e-09,0.057145983041837184,0.9999999718593302,-1.0099224278805967,13,9,4
27,17,6.949901580810374e-09,0.10338602485656738,0.9999999544492769,-1.2341658531943254,12,8,4
27,18,1.4591217041017815e-08,0.0797833271882972,0.9999998999059027,-0.819438971564598,12,8,4
27,19,3.34058489118317e-07,0.12002604246139525,0.9999975919639333,-2.3757324442267413,10,7,3
28,0,5.856561072076881e-09,0.013709054962936318,0.9999998892806299,-0.7951526872487653,24,18,6
28,1,8.88241661919452e-08,0.01848555088043213,0.9999975597756541,-0.7908499238308841,24,18,6
28,2,6.683581882406518e-08,0.10086883993943531,0.9999992507628302,-7.935231884398796,24,18,6
28,3,9.283224741617827e-08,0.05618743664820989,0.9999990862523647,-2.521496725862736,24,18,6
28,4,8.014120184633175e-09,0.03916294016838074,0.9999999402110512,-0.09291926051295074,24,18,6
28,5,7.053050247255865e-09,0.0565241574605306,0.9999999544519561,-6.790465806198703,24,18,6
28,6,9.244829266594834e-08,0.05781709780693054,0.9999993676869061,-4.967361012183197,23,17,6
28,7,2.3889479294319777e-07,0.05680137144724528,0.9999983921982427,-0.13300607939983955,23,17,6
28,8,1.0162756508852323e-08,0.09230536754926046,0.9999999276523303,-0.037268457914026776,23,17,6
28,9,1.8677711486816684e-07,0.02192742023468018,0.999998656022919,0.7126994000405857,22,16,6
28,10,5.0425529479965485e-09,0.03155630159167536,0.999999970140323,0.5078465434944326,22,16,6
